id,date,time,location,equipment,severity,worker_id,worker_role,worker_experience_years,description,cause,countermeasure
ACC-2023-001,2023-03-15,14:23,"第1製造棟 プレスエリア",プレス機,中位,W-001,製造スタッフ,3,"製造棟1F プレス機周辺での打ち抜き作業中、金型交換後に機械を起動したところ右手人差し指が金型部に挟まれた。すぐに緊急停止ボタンを押して機械を止めたが、爪の剥離と挫傷を負い病院で処置を受けた。3日間休業し、その後軽作業から復帰した。","金型交換後の手順確認が不十分で、安全センサーのリセット確認をスキップしていた。作業者本人は「何度もやっている作業なので大丈夫」と述べていた。","金型交換時のチェックリストを作成し、センサーリセット確認を必須工程として追加した。全製造スタッフへの周知教育を実施した。"
ACC-2023-002,2023-04-03,09:05,"倉庫・搬送エリア",フォークリフト,ヒヤリハット,W-004,フォークリフトオペレーター,12,"資材を積んだリフトで荷捌き倉庫内の曲がり角を旋回した際、向こうから歩いてきた作業員と接触しそうになった。相手が気づいて立ち止まったため接触は回避できた。その場で声かけをしたが、もう少し速度が出ていたら接触していた。","","曲がり角への注意喚起ステッカー貼付と徐行ルールの再周知を上長に提案した。当該カーブへのミラー設置を検討中。"
ACC-2023-003,2023-08-22,21:47,"第2製造棟 機械加工エリア",旋盤,重大,W-002,機械オペレーター,0,"夜勤帯での初回単独作業中、CNC 旋盤での切削作業後に加工済み部品を取り出す際、スピンドルが完全停止していないことに気づかず手を差し入れた。回転中の部品に右手を接触させ、中指・薬指の第一関節から先を切断する重傷を負った。同僚がすぐに気づき救急車を要請し病院に搬送された。手術を行ったが指の機能の完全回復は困難との診断を受けた。被災者は配属後3週間目で、夜勤の単独作業は今回が初めてだった。機械加工フロアは夜勤の人手不足が続いており、通常より早い段階で単独作業を任せていた。","スピンドル停止を目視で確認せず、停止ランプのみで判断した。夜勤帯の単独作業に対する力量評価が不十分なまま配置されていた。機械の特性として停止ランプ点灯後もスピンドルが惰性で数秒回転し続けることがあり、新人への引き継ぎが不足していた。",""
ACC-2023-004,2023-05-11,14:30,"第1製造棟 組立エリア",コンベア,ヒヤリハット,W-007,パート・アルバイト,1,"組立ラインのベルトコンベア付近で部品の取り出し作業中、袖口がコンベアのローラー部に引っかかりそうになった。咄嗟に腕を引き抜いたため怪我には至らなかった。袖が絡まりそうになった感触があったが、上長への報告を迷ってしまい、その日のうちに申告できなかった。","",""
ACC-2023-005,2023-10-18,11:20,"第2製造棟 溶接エリア",溶接機,軽微,W-005,溶接工,5,"溶接ブースでの溶接作業中、遮光保護面がずれた状態で作業を継続したところ紫外線性眼炎症を発症した。作業終了後から数時間後に目の痛みと充血が生じ、翌日に眼科を受診した。当日は保護面が何度も緩くなることに気づいていたが、そのまま作業を続けてしまった。受診後は当日業務に復帰した。","遮光保護面のバンドが伸びており、フィット調整が不十分なまま使用していた。作業中のずれに気づいていたが手直しを後回しにした。","遮光保護具の使用前フィット確認を作業開始チェックリストに追加した。W-005 に保護具の取り扱いについて個別指導を実施した。"
ACC-2023-006,2023-07-04,15:45,"第2製造棟 機械加工エリア",旋盤,軽微,W-009,機械オペレーター,4,"2棟 旋盤エリアでの切削加工後、加工済み部品に付着した切りくずを素手で除去しようとしたところ、右手中指の側面を切傷した。傷は浅く止血後に当日業務へ復帰した。耐切創グローブは手元にあったが、着けると感触がわかりにくいと感じて外したままだった。","耐切創グローブを着用せずに切りくず除去を行った。切りくずの切断面が鋭利であることへの認識が不足していた。","切りくず除去時の耐切創グローブ着用について個別指導を実施した。グローブを旋盤付近の取り出しやすい位置に再配置した。"
ACC-2023-007,2023-06-20,10:15,"倉庫・搬送エリア",フォークリフト,ヒヤリハット,W-011,フォークリフトオペレーター,7,"倉庫内 搬送路のコーナーで電動フォークリフトを操作中、積載した資材の陰で前方が見にくい状態で走行していたところ、棚の陰から出てきた作業員と危うく接触しそうになった。相手も急停止してくれたため事故には至らなかった。","","積荷が視界を遮る場合の誘導者設置ルールと低速走行の徹底について再周知した。"
ACC-2023-008,2023-09-02,13:30,"第1製造棟 組立エリア",グラインダー,ヒヤリハット,W-003,品質管理スタッフ,8,"組立工程でのバリ取り作業中、ディスクグラインダーの砥石が部品の形状に引っかかり、工具が手元から弾かれそうになった。保護メガネを着用していたため目への飛散はなかったが、砥石が部品に当たり小さな火花が顔付近に飛んだ。","砥石を部品の形状に対して適切でない角度で当てていた。部品固定が不安定で砥石が引っかかった。","グラインダー使用時の砥石角度と部品固定方法について技術指導を実施した。"
ACC-2023-009,2023-11-07,09:30,"第2製造棟 機械加工エリア",高所作業車,中位,W-006,設備保全スタッフ,20,"第二製造棟の加工ライン上部にある換気ダクトの点検作業中、昇降台を上昇させた状態で身を乗り出したところバランスを崩した。転落防止柵に腰を打ちつけ、腰部打撲と軽度の捻挫を負った。1週間の自宅療養後に復帰した。昇降台は正規の高さでの使用だったが、作業位置の確認が不十分だった。","昇降台の作業範囲を超えて身を乗り出しての作業となっていた。単独での高所作業であり、異常時に対応できる体制が整っていなかった。","高所作業の2名体制ルールを設備保全チームに徹底した。昇降台の作業範囲を示す注意喚起シールを昇降台本体に貼付した。"
ACC-2023-010,2023-12-15,16:20,"第1製造棟 プレスエリア",プレス機,ヒヤリハット,W-008,製造スタッフ,18,"1棟 プレスのある製造ラインでの打ち抜き作業中、金型への部品セット後に機械プレスが想定外のタイミングで起動した。手はすでに抜いていたため怪我はなかったが、指が挟まれる可能性があった。","センサーの誤作動と思われるが、詳細は調査中。当該機械は過去にも同様の挙動が報告されていた。","センサーの点検と再調整を設備保全担当に依頼した。当該プレス機の異常動作履歴を記録しメーカーに報告した。"
